	mzmed
120	277.215671575592
121	278.219083688991
122	278.219040841324
123	279.17897269422997
124	279.2326083154
125	279.31213427239396
126	279.356197843872
127	279.38843945893296
128	279.45336220912003
129	279.524495119155
130	279.5544043664
131	279.634170685576
132	279.72034760283697
133	279.769450630923
134	279.821813729789
135	279.910948931059
136	280.110007128721
137	280.20264305122004
138	280.235150787777
139	280.357723241963
140	280.43655327854196
141	280.526391328694
142	280.632784192419
143	280.743052436241
144	280.772187348685
145	281.19417056398
146	281.248168631335
147	281.238441049472
148	281.24682933629
149	281.246992911663
150	281.246716665865
151	281.246820283621
152	281.246796721142
153	281.246728179573
154	281.246820234627
155	281.246831804185
156	281.246818143898
157	281.24685953629904
158	281.24681075096197
159	281.246815752266
160	281.246878884343
161	281.24682263595
162	281.32826638459
163	281.342142650719
164	281.37225214979196
165	281.404800015391
166	281.468567924662
167	281.54111237765596
168	281.571086641685
169	281.650644101553
170	281.67723755309
171	281.757797243312
172	281.786980866086
173	281.83928073877104
174	281.929070261509
175	282.128617771337
176	282.219451679571
177	282.250813277423
178	282.241723740431
179	282.272339223438
180	282.37369013408403
181	282.453058420295
182	282.54356907549
183	282.650493392412
184	282.78536851646
185	283.135708585226
186	283.262734144764
187	283.253904966194
188	283.262458124758
189	283.24488141885297
190	283.387783023085
191	283.422120751132
192	283.471535320438
193	283.557248832788
194	283.586984778026
195	283.666332693065
196	283.777097474495
197	283.803179718741
198	284.25683215632006
199	284.266148488511
200	285.158616183167
201	285.259643865523
202	285.269229070019
203	286.272019551085
204	286.30425261427996
205	286.972846059649
206	287.009286760385
207	287.285005345738
208	287.274790278452
209	287.973624020246
210	288.291282158344
211	288.934864933327
212	288.971119491674
213	289.179272070027
214	289.294699747041
215	289.938243582142
216	290.29771011219896
217	290.933627236663
218	293.174563705917
219	293.174822880218
220	293.17482079841
221	293.174296022505
222	293.174335762509
223	293.174501063233
224	293.174396129998
225	293.174267281206
226	293.21065090241797
227	293.247301931331
228	294.21407398203604
229	294.250694121101
230	294.880714998852
231	295.18752554703497
232	295.226271117669
233	295.226330024744
234	295.22675084429795
235	295.262914323943
236	296.191018307443
237	296.22973707446
238	296.229760677833
239	296.266333467275
240	297.151588186752
241	297.151992644667
242	297.151987010479
243	297.232984881679
244	297.24190875676004
245	297.241848691126
246	297.241987418505
247	297.278472204366
